Fits, Fits
Calculator,Calculator
Bore,Bore
Shaft,Shaft
Table,Table
From/Up to,From/Up to
Clearance,Clearance
Diameter,Diameter
Pivot by two bearings,Pivot by two bearings
Distance between the bearings,Distance between the bearings
Bearing length,Bearing length
L/D max to have LA,L/D max to have Sliding Sphere
L/D min to have PG,L/D min to have Sliding Pivot
Max recommended localisation,Max recommended localisation
Can be considered as,Can be considered as
At least a non normalised IT: cannot compute,At least a non normalised IT: cannot compute
Clearance in,Clearance in
Not defined,Uncertain
Sliding pivot,Sliding pivot
Sliding Sphere,Sliding Sphere
Diameter over 250mm not supported,Diameter over 250mm not supported
