ArcB,Arc-Boutement
Buckling,Buckling
Units can be mm or m or whatever. D and L should have the same unit,Units can be mm or m or whatever. D and L should have the same unit
Friction coefficient,Friction coefficient
Length of the bearing,Length of the bearing
Distance with the force,Distance with the force
Formula,Formula
Sliding if,Sliding if
Rectangular,Rectangular
Circular,Circular
Circular pipe,Circular pipe
Rectangular pipe,Rectangular pipe
Beam height,Beam height
Beam width,Beam width
Beam diam,Beam diameter
Beam thickness,Beam thickness
Beam length,Beam length
Material,Material
Wikipedia says: Do not choose a steel with a high elastic limit the reduce buckling,Wikipedia says: Do not choose a steel with a high elastic limit the reduce buckling
Young's Modulus,Young's Modulus
Load,Load
Mounting,Mounting
Fixed,Fixed
Free,Free
Pinned,Pinned
Results,Results
Moment of inertia,Moment of inertia
Euler's critical load,Euler's critical load
Characteristics,Characteristics
Structure,Structure
Beam,Beam
or,or
Structure,Structure
Max displacement,Max displacement
Encastré with point concentrated force,Encastré with point concentrated load
Encastré with distributed force,Encastré with distributed load
2 points concentrated force,2 points concentrated load
2 points distributed force,2 points distributed load
Distance,Distance
Flexion,Flexion
Linear q on beam,Linear q on beam
Young's modulus,Young's modulus
Beam Length,Beam Length
Force f on beam,Force f on beam
Lowest point,Lowest point position
Quadratic moment,Quadratic moment
Compute,Compute
Result,Result
Blocked,Blocked
Sliding,Sliding
Linear load,Linear load
