Some beams to cuts in standard 6m bars ? Or maybe in 1.23m bars ? This tool will help you to know where you will have to cuts to save material and time,Vous avez des découpes à faire dans des barres standards de 6m ? Ou des barres de 1.235m ? Pas de soucis : entrez les dimensions de vos profilés et celles de découpes voulues. On y va ?
Ability to compute with angle will come soon,La prise en compte des angles sera ajoutée sous peu !
Just add some "Bars" (Raw material) and set which lengths ("Cuts") you want to cut.,Ajoutez d'abord vos barres brutes. Ensuite ajoutez les barres que vous souhaitez découper. Calculer, et le tour est joué !
Length in mm,Longueur en mm
Height in mm,Hauteur en mm
Raw Bar,Barres brutes
Bar to Cut,Barres à découper
Results,Resultats
Calculate,Calculer
Add Bar,Ajout profilé
Add Cut,Ajout découpe
Delete,Supprimer
Loss,Perte
Bar,Barre
No remaining part,Toutes les découpes ont été placées
Download CSV,Télécharger en CSV
Delimiter,Délimiteur
It remains,Non placé
