Fits, Ajustements
Calculator,Calculateur
Bore,Alésage
Shaft,Arbre
Table,Tableaux,
From/Up to,De/à
Clearance,Ajustement
Diameter,Diamètre
Pivot by two bearings,Pivot par deux bagues
Distance between the bearings,Distance entre les paliers
Bearing length,Longueur du palier
L/D max to have LA,L/D max pour avoir une LA
L/D min to have PG, L/D min pour avoir un PG
Max recommended localisation, Spécification de localisation maximale recommandée
Can be considered as,Peut être considéré comme
At least a non normalised IT: cannot compute,Au moins un IT non normalisé : Ne peut pas calculer
Clearance in,Jeux en
Not defined,Incertain
Sliding pivot,Pivot glissant
Sliding Sphere,Linéaire annulaire
