Welcome in MecaWeb-app,Bienvenue dans l'appli Copo
Forum,Forum
Shop,Boutique
Partners,Sous-traitance
Graph,Graphs de liaison
Cuts,Découpe de profilés
Speed of a screw/nut transmission,Vitesse d'une transmission vis/écrou
Torque needed for rotation,Couple nécessaire en rotation
Speed curve of a movement,Courbe de vitesse d'un mouvement
Stepper motors,Moteurs pas-à-pas
Length of a belt,Longeur d'une courroie
Arc-boutement,Arc-boutement
Buckling,Flambage
Flexion,Calcul en flexion
Fits,Ajustements
Improve your joints,Fiabilisez vos liaisons
Useful tools,Outils
Transmission elements,Elements de transmission
Structure calculations,Calculs de structure
Design more efficiently,Mieux concevoir
Bearing life,Durée de vie des roulements
Threads,Tarauds et diamètres de perçage
Ressources,Ressources
This is an alpha release. Please contact me to report bugs or request features ! No need to write a big email with formalities; just write your problem !,Ceci est une version de test. Si vous rencontrez un bug ou que vous souhaiteriez voir un autre calculateur alors contactez moi ! (Pas besoin d'écrire de formalités ! Vous pouvez simplement écrire votre demande)
