Transmission,Transmission
Screw/nut,Transmission par vis
Pulley/belt,Poulies/courroie
Stepper motor,Moteurs pas à pas
Accel curves,Courbes d'accelération
Torque and Force,Couple et Force
Screw pitch,Pas de la vis
Efficiency,Rendement
Torque,Couple
or Force,ou force
Speed,Vitesse
Rotative,Rotative
Linear,Linéaire
Distance,Distance
Initial speed,Vitesse initiale
Final speed,Vitesse finale
Accel,Accelération
Can't reach at time,N'atteint jamais la vitesse maximale
Time to reach max speed,Temps pour atteindre la vitesse maximale
Total time of the movement,Durée du mouvement
Distance to reach max speed (same unit as distance provided),Distance pour atteindre la vitesse maximale (même unité que la distance entrée)
Accel curve,Courbes d'accélération
Compute force,Calculer la force
Compute torque, Calculer le couple
Compute,Calculer
Belt length and ratio,Longueur de courroie
Pulley 2 primitive diameter,Diamètre primitif 2
Pulley 1 primitive diameter,Diamètre primitif 1
Distance between axis,Entraxe
Belt length, Longueur de courroie
Belt length (if crossed),Longueur de courroie (si croisée)
Ratio,Rapport de réduction
Steps per turn,Pas par tour
reduction,reduction
multiplication,multiplication
Fullstep,Pas complet
mm/step,mm par par
Steps/mm,Pas par mm
Output,Mécanisme de sortie
Milimeters by turn,Milimètres par tour
Steps by mm,Pas par mm
mm by step,mm par pas
Microsteps,Microsteps
Steps settings,Configuration
Bearing,Roulement
Static load,Charge statique
Dynamic load,Charge dynamique
Radial load,Charge radiale
Axial load,Charge axiale
Use,Utilisation
Balls (radial contact),à billes (contact radial)
Balls (oblic contact),à billes (contact oblique)
rpm,tr/min
Speed,Vitesse
Use case,Cas d'usage
Smooth and without vibration,Régulier et sans vibration
Normal,Normal
With shocks,Avec chocs
life in million of turns,Durée de vie en million de tours
life in hours,Durée de vie en heures
Economical,Economique
Middle,Equilibré
High performance,Haute performance et rigidité
Axial load direction,Sens des forces axiales
One way,Un seul sens
Two ways,Dans les deux sens
Mainly axial,Princip. axiale
More axial,Plus axiale
Equilibrated,Equilibrée
More radial,Plus radiale
Mainly radial,Princip. radiale
